Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",0805,13,100nF,
C15,0805,1,4.7µF,
J5,SD_Hirose_DM1AA_SF_PEJ82,1,DM1AA-SF-PEJ(82),
"R1, R2, R3, R4, R5, R6",0805,6,47KΩ,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32",0805,23,10KΩ,
"R33, R42, R51",0805,3,200Ω,
"R34, R38, R39, R40, R41, R43, R47, R48, R49, R50, R52, R56, R57, R58, R59",0805,15,800Ω,
"R35, R36, R37, R44, R45, R46, R53, R54, R55",0805,9,400Ω,
"R60, R61, R62, R63, R7, R8, R9",0805,7,1KΩ,
R64,0805,1,2KΩ,
X1,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm_HandSoldering,1,ECS-327MVATX-5-CN-TR,
X2,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm_HandSoldering,1,KC5032K8.00000C1GE00,
X3,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm_HandSoldering,1,ECS-3963-250-BN-TR,
